IDENTIFIER,CONCEPT_CODE,DEFINITION,PARENT_IDENTIFIER,VALUE,PUBLIC_ID,SORTORDER
getNextPvId(),,,"getPvParentId('2003991', 'Molecular')",DNA,null,0
getNextPvId(),,,"getPvParentId('2003991', 'Molecular')",RNA,null,0
getNextPvId(),,,"getPvParentId('2003991', 'Molecular')",ctDNA,null,0
getNextPvId(),,,"getPvParentId('2003991', 'Molecular')",Not Specified,null,0
getNextPvId(),,,"getPvParentId('2003991', 'Tissue')",Fresh Tissue,null,0
getNextPvId(),,,"getPvParentId('2003991', 'Tissue')",Snap Frozen,null,0
getNextPvId(),,,"getPvParentId('2003991', 'Tissue')",OCT Block,null,0
getNextPvId(),,,"getPvParentId('2003991', 'Tissue')",OCT Slide,null,0
getNextPvId(),,,"getPvParentId('2003991', 'Tissue')",FFPE Block,null,0
getNextPvId(),,,"getPvParentId('2003991', 'Tissue')",ETOH-Fixed Paraffin Block,null,0
getNextPvId(),,,"getPvParentId('2003991', 'Tissue')",Microdissected,null,0
getNextPvId(),,,"getPvParentId('2003991', 'Tissue')",Tissue Micro Array,null,0
getNextPvId(),,,"getPvParentId('2003991', 'Tissue')",Not Specified,null,0
getNextPvId(),,,"getPvParentId('2003991', 'Tissue')",FFPE Slide,null,0
getNextPvId(),,,"getPvParentId('2003991', 'Tissue')",Ethanol Fixed Paraffin Slide,null,0
getNextPvId(),,,"getPvParentId('2003991', 'Tissue')",FFPE H&E Slide,null,0
getNextPvId(),,,"getPvParentId('2003991', 'Tissue')",Ethanol Fixed Paraffin H&E Slide,null,0
getNextPvId(),,,"getPvParentId('2003991', 'Fluid')",Whole Blood,null,0
getNextPvId(),,,"getPvParentId('2003991', 'Fluid')",Whole Bone Marrow,null,0
getNextPvId(),,,"getPvParentId('2003991', 'Fluid')",Serum,null,0
getNextPvId(),,,"getPvParentId('2003991', 'Fluid')",Plasma,null,0
getNextPvId(),,,"getPvParentId('2003991', 'Fluid')",Bone Marrow Plasma,null,0
getNextPvId(),,,"getPvParentId('2003991', 'Fluid')",Buffy Coat,null,0
getNextPvId(),,,"getPvParentId('2003991', 'Fluid')",Buffy Coat without DMSO,null,0
getNextPvId(),,,"getPvParentId('2003991', 'Fluid')",Buffy Coat with DMSO,null,0
getNextPvId(),,,"getPvParentId('2003991', 'Fluid')",PBMNC,null,0
getNextPvId(),,,"getPvParentId('2003991', 'Fluid')",MNC Bone Marrow,null,0
getNextPvId(),,,"getPvParentId('2003991', 'Fluid')",Ascites,null,0
getNextPvId(),,,"getPvParentId('2003991', 'Fluid')",Urine,null,0
getNextPvId(),,,"getPvParentId('2003991', 'Fluid')",EBUS,null,0
getNextPvId(),,,"getPvParentId('2003991', 'Fluid')",FNA rinse in PBS,null,0
getNextPvId(),,,"getPvParentId('2003991', 'Fluid')",FNA,null,0
getNextPvId(),,,"getPvParentId('2003991', 'Fluid')",Not Specified,null,0
getNextPvId(),,,"getPvParentId('2003991', 'Cell')",PBMNC,null,0
getNextPvId(),,,"getPvParentId('2003991', 'Cell')",Blood Pellet,null,0
getNextPvId(),,,"getPvParentId('2003991', 'Cell')",MNC Bone Marrow with Trizol,null,0
getNextPvId(),,,"getPvParentId('2003991', 'Cell')",Not Specified,null,0
getNextPvId(),,,null,No Additive Vacutainer,2003997,0
getNextPvId(),,,null,Serum Separator Vacutainer,2003997,0
getNextPvId(),,,null,EDTA Vacutainer,2003997,0
